State,Expansion adults (thousands),Other adults (thousands),All adults at risk (thousands),All adults at risk (%)
Total,20272.0,15917,36188,44
Alabama,,231,231,21
Alaska,71.0,46,117,50
Arizona,632.0,444,1075,50
Arkansas,243.0,67,310,38
California,4957.0,3200,8156,56
Colorado,350.0,192,542,47
Connecticut,322.0,226,549,51
Delaware,70.0,46,116,49
District of Columbia,118.0,41,159,62
Florida,,1056,1056,24
Georgia,,471,471,21
Hawaiâ€˜i,156.0,62,218,49
Idaho,93.0,37,131,37
Illinois,843.0,508,1351,46
Indiana,569.0,306,875,48
Iowa,183.0,98,281,47
Kansas,,61,61,17
Kentucky,488.0,152,640,46
Louisiana,785.0,259,1044,56
Maine,112.0,77,189,48
Maryland,423.0,280,703,48
Massachusetts,393.0,561,954,48
Michigan,742.0,372,1114,47
Minnesota,221.0,215,436,37
Mississippi,,117,117,18
Missouri,327.0,118,445,36
Montana,80.0,24,104,47
Nebraska,72.0,47,120,35
Nevada,313.0,68,381,52
New Hampshire,61.0,21,82,45
New Jersey,568.0,197,765,44
New Mexico,289.0,152,441,50
New York,2112.0,1231,3342,48
North Carolina,481.0,936,1417,47
North Dakota,24.0,14,39,37
Ohio,729.0,556,1285,42
Oklahoma,246.0,128,373,38
Oregon,641.0,152,793,63
Pennsylvania,832.0,364,1196,40
Rhode Island,79.0,69,148,48
South Carolina,,451,451,34
South Dakota,24.0,19,43,34
Tennessee,,417,417,27
Texas,,828,828,19
Utah,78.0,49,127,38
Vermont,65.0,12,77,46
Virginia,684.0,191,874,58
Washington,626.0,157,782,42
West Virginia,171.0,54,225,43
Wisconsin,,523,523,41
Wyoming,,13,13,19
